"seqnames"	"start"	"end"	"width"	"strand"	"Conc"	"Conc_dex"	"Conc_control"	"Fold"	"p.value"	"FDR"
"chr8"	123689910	123690410	501	"*"	8.29	9.17	5.73	3.44	2.34e-63	5.33e-60
"chr2"	28661503	28662003	501	"*"	8.03	8.97	4.54	4.43	2.6e-63	5.73e-60
"chr3"	156790156	156790656	501	"*"	8.08	9.03	3.97	5.07	2.65e-63	5.73e-60
"chr1"	181152862	181153362	501	"*"	8.22	9.1	5.55	3.55	1.47e-62	3.1e-59
"chr7"	107972002	107972502	501	"*"	9.09	9.9	7.11	2.79	5.51e-62	1.13e-58
"chr2"	179104640	179105140	501	"*"	8.06	8.99	4.63	4.36	8.8e-62	1.76e-58
"chr20"	47334065	47334565	501	"*"	9.03	9.8	7.22	2.58	1.02e-61	2e-58
"chr19"	39409463	39409963	501	"*"	8.3	9.16	5.91	3.25	7.39e-61	1.41e-57
"chr20"	41248594	41249094	501	"*"	8	8.95	3.92	5.04	8.66e-61	1.62e-57
"chr3"	102130186	102130686	501	"*"	8.11	9.01	5.3	3.71	1.03e-60	1.88e-57
"chr6"	158707089	158707589	501	"*"	8.13	9.05	5.06	3.99	1.77e-60	3.16e-57
"chr16"	72990030	72990530	501	"*"	7.96	8.91	4.08	4.83	5.15e-60	8.98e-57
"chr18"	9855108	9855608	501	"*"	7.97	8.9	4.69	4.21	1.6e-59	2.74e-56
"chr10"	4283735	4284235	501	"*"	8.46	9.28	6.31	2.98	7.99e-59	1.34e-55
"chr6"	22821847	22822347	501	"*"	7.98	8.91	4.45	4.46	9.44e-59	1.55e-55
"chr1"	9376873	9377373	501	"*"	7.97	8.93	3.86	5.07	9.7e-59	1.56e-55
"chr6"	108653963	108654463	501	"*"	7.96	8.89	4.58	4.31	1.2e-57	1.9e-54
"chr16"	84832454	84832954	501	"*"	8.7	9.52	6.65	2.87	2.39e-57	3.7e-54
"chr5"	172775516	172776016	501	"*"	7.92	8.88	3.97	4.91	3.63e-57	5.51e-54
"chr9"	129320516	129321016	501	"*"	7.96	8.87	4.9	3.98	3.74e-57	5.58e-54
"chr6"	35731767	35732267	501	"*"	8.14	9.02	5.52	3.5	4.09e-57	6e-54
"chr6"	140857684	140858184	501	"*"	8.78	9.58	6.8	2.78	4.29e-57	6.18e-54
"chr12"	76266680	76267180	501	"*"	8.65	9.48	6.52	2.96	4.37e-57	6.18e-54
"chr9"	112012481	112012981	501	"*"	7.84	8.78	4.24	4.54	1.05e-56	1.46e-53
"chr15"	39283596	39284096	501	"*"	7.94	8.84	5.05	3.79	1.67e-56	2.28e-53
"chr3"	48694380	48694880	501	"*"	8.22	9.09	5.65	3.44	1.81e-56	2.41e-53
"chr20"	50415543	50416043	501	"*"	7.81	8.76	3.95	4.81	1.82e-56	2.41e-53
"chr5"	16459415	16459915	501	"*"	7.84	8.75	4.69	4.06	2.75e-56	3.58e-53
"chr6"	129141500	129142000	501	"*"	8.04	8.92	5.39	3.53	3.35e-56	4.29e-53
"chr8"	141018679	141019179	501	"*"	8.8	9.6	6.85	2.75	4.51e-56	5.69e-53
"chr2"	205657485	205657985	501	"*"	8.74	9.54	6.78	2.76	5.66e-56	7.03e-53
"chr10"	95273375	95273875	501	"*"	7.97	8.86	5.23	3.63	7.45e-56	9.13e-53
"chr11"	114162737	114163237	501	"*"	8.28	9.15	5.75	3.4	1.67e-55	2.01e-52
"chr5"	159820035	159820535	501	"*"	7.89	8.82	4.48	4.34	3.52e-55	4.18e-52
"chr1"	52669568	52670068	501	"*"	7.91	8.83	4.69	4.15	3.67e-55	4.3e-52
"chr3"	155233058	155233558	501	"*"	7.77	8.7	4.48	4.22	7.82e-55	9.03e-52
"chr7"	158863720	158864220	501	"*"	7.9	8.85	3.78	5.08	8.44e-55	9.62e-52
"chr14"	94599124	94599624	501	"*"	8.16	9.03	5.71	3.32	1.01e-54	1.13e-51
"chr15"	60426953	60427453	501	"*"	8.22	9.1	5.62	3.48	1.61e-54	1.79e-51
"chr14"	30267179	30267679	501	"*"	7.83	8.77	4.28	4.48	1.64e-54	1.79e-51
"chr12"	76259646	76260146	501	"*"	8.58	9.37	6.69	2.68	2.18e-54	2.35e-51
"chr12"	55847851	55848351	501	"*"	8.46	9.27	6.41	2.86	1.01e-53	1.08e-50
"chr20"	50395235	50395735	501	"*"	7.84	8.81	3.42	5.39	1.93e-53	2.03e-50
"chr12"	93814062	93814562	501	"*"	7.75	8.68	4.34	4.34	2.51e-53	2.61e-50
"chr8"	93382716	93383216	501	"*"	7.76	8.7	4.13	4.57	3.79e-53	3.89e-50
"chr10"	32953127	32953627	501	"*"	8.02	9	2.96	6.05	3.94e-53	3.99e-50
"chr2"	128378927	128379427	501	"*"	8.15	8.98	5.95	3.03	5.79e-53	5.8e-50
"chr6"	111564429	111564929	501	"*"	8.73	9.5	6.99	2.5	1.74e-52	1.72e-49
"chr2"	48855084	48855584	501	"*"	7.74	8.69	3.73	4.97	1.86e-52	1.81e-49
"chr4"	26141779	26142279	501	"*"	8.12	8.97	5.83	3.14	3.13e-52	3.02e-49
"chr13"	80132676	80133176	501	"*"	7.72	8.65	4.23	4.42	3.57e-52	3.4e-49
"chr1"	26961776	26962276	501	"*"	8.35	9.15	6.37	2.78	4.38e-52	4.13e-49
"chr13"	43004965	43005465	501	"*"	7.91	8.88	3.29	5.59	9.42e-52	8.78e-49
"chr3"	188947933	188948433	501	"*"	7.83	8.71	5.19	3.52	1.31e-51	1.2e-48
"chr16"	72677753	72678253	501	"*"	7.94	8.81	5.42	3.39	1.81e-51	1.65e-48
"chr6"	132020195	132020695	501	"*"	8.18	9.17	2.65	6.52	2.01e-51	1.81e-48
"chr1"	91608851	91609351	501	"*"	7.71	8.63	4.5	4.12	3.37e-51	3e-48
"chr3"	24507540	24508040	501	"*"	7.9	8.8	4.91	3.9	1.1e-50	9.75e-48
"chr9"	92242292	92242792	501	"*"	7.99	8.84	5.64	3.21	1.24e-50	1.07e-47
"chr21"	27244366	27244866	501	"*"	7.63	8.56	4.04	4.52	1.24e-50	1.07e-47
"chr21"	28439845	28440345	501	"*"	8.08	8.94	5.67	3.27	1.97e-50	1.69e-47
"chr5"	159787135	159787635	501	"*"	8.3	9.12	6.23	2.89	2.04e-50	1.73e-47
"chr5"	172869030	172869530	501	"*"	8.96	9.69	7.42	2.28	2.18e-50	1.82e-47
"chr22"	45526712	45527212	501	"*"	7.96	8.83	5.5	3.32	2.53e-50	2.1e-47
"chr3"	23959300	23959800	501	"*"	8.21	9.04	6.04	3	2.79e-50	2.28e-47
"chr7"	134919413	134919913	501	"*"	7.69	8.6	4.66	3.94	3.03e-50	2.46e-47
"chr9"	91428958	91429458	501	"*"	7.94	8.81	5.36	3.45	3.83e-50	3.08e-47
"chr10"	104260368	104260868	501	"*"	8.07	8.9	5.89	3.01	5.52e-50	4.4e-47
"chr5"	141974151	141974651	501	"*"	7.62	8.54	4.48	4.05	1.3e-49	1.03e-46
"chr15"	51318510	51319010	501	"*"	7.59	8.53	3.92	4.61	2.79e-49	2.18e-46
"chr5"	98428617	98429117	501	"*"	7.62	8.57	3.7	4.87	3.27e-49	2.53e-46
"chr10"	30803812	30804312	501	"*"	8.76	9.53	7.02	2.51	3.34e-49	2.56e-46
"chr18"	10041051	10041551	501	"*"	7.7	8.66	3.28	5.38	4.52e-49	3.43e-46
"chr8"	121695981	121696481	501	"*"	7.65	8.61	3.49	5.12	6.68e-49	5.03e-46
"chr3"	39180604	39181104	501	"*"	7.9	8.75	5.59	3.16	6.81e-49	5.08e-46
"chr12"	32457297	32457797	501	"*"	7.6	8.56	3.61	4.95	8.98e-49	6.64e-46
"chr5"	9447606	9448106	501	"*"	7.6	8.54	3.99	4.54	1.61e-48	1.18e-45
"chr2"	216548679	216549179	501	"*"	7.56	8.5	4	4.5	1.88e-48	1.37e-45
"chr5"	41193704	41194204	501	"*"	7.56	8.49	3.95	4.54	2.78e-48	2e-45
"chr6"	52603446	52603946	501	"*"	7.61	8.54	4.17	4.37	2.84e-48	2.02e-45
"chr2"	225842944	225843444	501	"*"	7.98	8.82	5.78	3.04	3.57e-48	2.52e-45
"chr3"	183370738	183371238	501	"*"	8.2	9.02	6.11	2.91	4.04e-48	2.83e-45
"chr9"	35367477	35367977	501	"*"	7.82	8.69	5.34	3.35	4.6e-48	3.2e-45
"chr13"	109243531	109244031	501	"*"	8.68	9.47	6.8	2.67	6.9e-48	4.76e-45
"chr3"	169699484	169699984	501	"*"	7.73	8.62	4.93	3.69	9.04e-48	6.18e-45
"chr13"	109274213	109274713	501	"*"	8.2	9.01	6.14	2.88	1e-47	6.79e-45
"chr18"	3773166	3773666	501	"*"	7.8	8.69	5.06	3.63	1.66e-47	1.12e-44
"chr20"	23622874	23623374	501	"*"	7.53	8.48	3.78	4.7	2.56e-47	1.71e-44
"chr8"	47659299	47659799	501	"*"	8.46	9.27	6.43	2.84	2.65e-47	1.76e-44
"chr2"	207133819	207134319	501	"*"	7.86	8.73	5.31	3.42	3.18e-47	2.09e-44
"chr5"	179356541	179357041	501	"*"	7.58	8.53	3.42	5.12	3.42e-47	2.22e-44
"chr1"	108828595	108829095	501	"*"	7.77	8.65	5.07	3.58	3.71e-47	2.39e-44
"chr1"	33338734	33339234	501	"*"	7.89	8.74	5.48	3.26	3.74e-47	2.39e-44
"chr11"	34750211	34750711	501	"*"	7.73	8.62	4.9	3.73	3.82e-47	2.43e-44
"chr7"	106217036	106217536	501	"*"	7.71	8.67	3.14	5.54	5.63e-47	3.56e-44
"chr8"	122084428	122084928	501	"*"	7.96	8.83	5.51	3.32	5.82e-47	3.65e-44
"chr1"	55580782	55581282	501	"*"	8.11	8.91	6.1	2.82	9.51e-47	5.91e-44
"chr6"	42045616	42046116	501	"*"	7.49	8.42	4.1	4.32	2.12e-46	1.31e-43
"chr12"	54421067	54421567	501	"*"	8.23	9.04	6.24	2.8	2.13e-46	1.31e-43
"chr12"	102023301	102023801	501	"*"	7.55	8.5	3.65	4.85	2.46e-46	1.49e-43
"chr10"	72243700	72244200	501	"*"	8.09	8.9	6.04	2.86	2.7e-46	1.63e-43
"chr13"	80469761	80470261	501	"*"	7.55	8.45	4.63	3.81	3.25e-46	1.95e-43
"chr6"	129133889	129134389	501	"*"	7.76	8.65	5.03	3.62	3.92e-46	2.33e-43
"chr5"	140220750	140221250	501	"*"	7.53	8.49	3.41	5.07	4.13e-46	2.44e-43
"chr2"	215624234	215624734	501	"*"	8.02	8.84	5.87	2.97	5.6e-46	3.26e-43
"chr9"	716002	716502	501	"*"	7.7	8.57	5.14	3.42	5.61e-46	3.26e-43
"chr9"	98604068	98604568	501	"*"	7.47	8.41	4	4.41	7.02e-46	4.05e-43
"chr1"	61638271	61638771	501	"*"	7.79	8.67	5.21	3.46	7.5e-46	4.3e-43
"chr3"	40116442	40116942	501	"*"	7.83	8.67	5.58	3.09	8.79e-46	5.01e-43
"chr11"	122748812	122749312	501	"*"	7.51	8.41	4.54	3.87	1.16e-45	6.58e-43
"chr13"	21033411	21033911	501	"*"	7.5	8.42	4.32	4.1	2.01e-45	1.13e-42
"chr9"	72365578	72366078	501	"*"	7.94	8.76	5.84	2.92	2.36e-45	1.32e-42
"chr5"	137564313	137564813	501	"*"	7.5	8.41	4.42	3.99	3.47e-45	1.93e-42
"chr14"	61151146	61151646	501	"*"	8.51	9.29	6.73	2.56	4.03e-45	2.22e-42
"chr17"	17575609	17576109	501	"*"	7.46	8.38	4.22	4.17	4.17e-45	2.28e-42
"chr13"	98129229	98129729	501	"*"	7.62	8.59	3.05	5.53	8.1e-45	4.4e-42
"chr6"	134853259	134853759	501	"*"	8.18	8.97	6.31	2.65	8.51e-45	4.59e-42
"chr7"	55019290	55019790	501	"*"	7.81	8.65	5.52	3.13	8.96e-45	4.8e-42
"chr10"	97596600	97597100	501	"*"	7.48	8.42	4	4.42	1.65e-44	8.79e-42
"chr2"	63787975	63788475	501	"*"	7.78	8.64	5.33	3.31	2.02e-44	1.07e-41
"chr5"	67268163	67268663	501	"*"	7.65	8.52	5.1	3.43	2.61e-44	1.37e-41
"chr6"	89022616	89023116	501	"*"	7.39	8.32	4.05	4.28	2.74e-44	1.43e-41
"chr20"	49510455	49510955	501	"*"	7.82	8.65	5.62	3.04	2.93e-44	1.52e-41
"chr9"	121372629	121373129	501	"*"	8.36	9.14	6.51	2.63	4.23e-44	2.18e-41
"chr5"	94433256	94433756	501	"*"	7.58	8.48	4.79	3.68	7.61e-44	3.9e-41
"chr3"	71998830	71999330	501	"*"	8.18	8.98	6.17	2.81	8.06e-44	4.11e-41
"chr3"	157913110	157913610	501	"*"	8.03	8.83	6.04	2.79	9.96e-44	5.05e-41
"chr5"	127707246	127707746	501	"*"	7.64	8.5	5.19	3.31	1.02e-43	5.11e-41
"chr15"	67884523	67885023	501	"*"	7.95	8.77	5.9	2.86	1.03e-43	5.16e-41
"chr3"	55343711	55344211	501	"*"	7.88	8.87	2.43	6.44	1.17e-43	5.82e-41
"chr12"	76275379	76275879	501	"*"	7.63	8.6	2.79	5.82	2.06e-43	1.02e-40
"chr22"	17570765	17571265	501	"*"	7.91	8.9	2.4	6.5	2.13e-43	1.04e-40
"chr17"	61303485	61303985	501	"*"	7.38	8.31	4	4.31	4.42e-43	2.16e-40
"chr6"	150372600	150373100	501	"*"	7.38	8.33	3.49	4.83	4.81e-43	2.34e-40
"chr4"	52996257	52996757	501	"*"	7.43	8.34	4.35	3.99	5.32e-43	2.57e-40
"chr5"	68224591	68225091	501	"*"	7.41	8.36	3.56	4.8	6.92e-43	3.32e-40
"chr17"	9217343	9217843	501	"*"	7.65	8.5	5.28	3.22	7.07e-43	3.37e-40
"chr1"	33758653	33759153	501	"*"	7.36	8.3	3.87	4.43	1.07e-42	5.07e-40
"chr3"	16056092	16056592	501	"*"	7.38	8.31	4.04	4.27	1.11e-42	5.22e-40
"chr22"	27105477	27105977	501	"*"	7.88	8.71	5.76	2.95	1.87e-42	8.78e-40
"chr3"	12143978	12144478	501	"*"	7.4	8.3	4.51	3.79	2.11e-42	9.83e-40
"chr1"	184622155	184622655	501	"*"	7.35	8.28	4	4.28	2.33e-42	1.08e-39
"chr13"	41622026	41622526	501	"*"	7.46	8.37	4.35	4.03	2.57e-42	1.18e-39
"chr2"	128584434	128584934	501	"*"	8.51	9.26	6.9	2.36	2.57e-42	1.18e-39
"chr1"	145891977	145892477	501	"*"	7.35	8.27	4.24	4.03	3.01e-42	1.37e-39
"chr6"	150999242	150999742	501	"*"	7.35	8.28	3.97	4.32	3.06e-42	1.39e-39
"chr5"	115455243	115455743	501	"*"	7.37	8.29	4.17	4.12	3.08e-42	1.39e-39
"chr8"	127391043	127391543	501	"*"	8.46	9.2	6.84	2.36	3.35e-42	1.5e-39
"chr6"	166624131	166624631	501	"*"	7.58	8.44	5.13	3.31	3.45e-42	1.54e-39
"chr2"	45238151	45238651	501	"*"	7.98	8.79	5.98	2.81	3.69e-42	1.64e-39
"chr14"	70857024	70857524	501	"*"	8.31	9.06	6.63	2.43	4.26e-42	1.88e-39
"chr8"	52146643	52147143	501	"*"	7.74	8.59	5.41	3.18	4.59e-42	2.01e-39
"chr17"	8154211	8154711	501	"*"	7.66	8.52	5.22	3.3	5.8e-42	2.53e-39
"chr6"	25298071	25298571	501	"*"	8.84	9.54	7.41	2.13	6.3e-42	2.73e-39
"chr20"	31712537	31713037	501	"*"	7.6	8.47	5.14	3.32	7.21e-42	3.12e-39
"chr1"	230101406	230101906	501	"*"	7.91	8.73	5.85	2.88	7.56e-42	3.25e-39
"chr15"	49255734	49256234	501	"*"	7.92	8.73	5.86	2.88	8.99e-42	3.84e-39
"chr7"	38679416	38679916	501	"*"	7.49	8.38	4.82	3.56	9.46e-42	4.02e-39
"chr9"	98356976	98357476	501	"*"	8.42	9.2	6.6	2.6	1.37e-41	5.8e-39
"chr11"	33168690	33169190	501	"*"	7.35	8.29	3.65	4.64	1.46e-41	6.13e-39
"chr2"	195363465	195363965	501	"*"	8.26	9.04	6.44	2.6	2.14e-41	8.97e-39
"chr10"	30776205	30776705	501	"*"	8.39	9.15	6.68	2.47	2.28e-41	9.48e-39
"chr5"	958776	959276	501	"*"	8.27	9.03	6.57	2.46	2.38e-41	9.87e-39
"chr3"	156668309	156668809	501	"*"	7.59	8.47	4.93	3.54	2.93e-41	1.21e-38
"chr2"	37911912	37912412	501	"*"	7.44	8.33	4.69	3.65	3.08e-41	1.26e-38
"chr12"	93127493	93127993	501	"*"	7.83	8.66	5.64	3.02	3.63e-41	1.48e-38
"chr1"	116376360	116376860	501	"*"	7.39	8.29	4.41	3.88	4.42e-41	1.8e-38
"chr4"	128571672	128572172	501	"*"	8.38	9.13	6.71	2.42	7.76e-41	3.13e-38
"chr18"	45637982	45638482	501	"*"	7.29	8.22	3.8	4.42	8.07e-41	3.24e-38
"chr6"	111559500	111560000	501	"*"	7.42	8.31	4.68	3.63	8.23e-41	3.29e-38
"chr12"	78192986	78193486	501	"*"	7.33	8.27	3.54	4.74	8.95e-41	3.57e-38
"chr17"	40021360	40021860	501	"*"	7.27	8.19	4.05	4.14	1.08e-40	4.28e-38
"chr2"	101120522	101121022	501	"*"	7.63	8.5	5.14	3.36	1.82e-40	7.19e-38
"chr2"	238727868	238728368	501	"*"	8.41	9.15	6.83	2.32	1.91e-40	7.52e-38
"chr10"	34584135	34584635	501	"*"	7.59	8.43	5.3	3.13	1.96e-40	7.67e-38
"chr1"	94544180	94544680	501	"*"	7.32	8.27	3.29	4.98	2.16e-40	8.39e-38
"chr12"	47737046	47737546	501	"*"	7.38	8.27	4.67	3.6	3.31e-40	1.28e-37
"chr7"	100545790	100546290	501	"*"	7.38	8.27	4.69	3.58	5.93e-40	2.29e-37
"chr7"	47757803	47758303	501	"*"	8.39	9.11	6.86	2.25	6.87e-40	2.63e-37
"chr12"	51820196	51820696	501	"*"	7.57	8.43	5.19	3.23	7.19e-40	2.74e-37
"chr7"	50657269	50657769	501	"*"	7.61	8.46	5.22	3.24	8.11e-40	3.08e-37
"chr5"	52893127	52893627	501	"*"	7.39	8.28	4.69	3.59	8.42e-40	3.18e-37
"chr9"	99046652	99047152	501	"*"	7.25	8.2	3.43	4.76	9.65e-40	3.63e-37
"chr5"	95646584	95647084	501	"*"	7.26	8.18	4.2	3.97	1.07e-39	3.99e-37
"chr3"	156602512	156603012	501	"*"	7.57	8.55	2.55	6	1.11e-39	4.14e-37
"chr5"	95720258	95720758	501	"*"	7.57	8.43	5.11	3.32	1.16e-39	4.32e-37
"chr11"	11807667	11808167	501	"*"	7.25	8.17	4.09	4.07	1.51e-39	5.59e-37
"chr9"	76271767	76272267	501	"*"	7.26	8.18	4.12	4.06	1.92e-39	7.05e-37
"chr20"	35443039	35443539	501	"*"	7.24	8.17	3.8	4.36	3.51e-39	1.29e-36
"chr12"	15530351	15530851	501	"*"	7.27	8.2	3.82	4.38	3.79e-39	1.38e-36
"chr12"	42865226	42865726	501	"*"	7.26	8.16	4.35	3.8	4.64e-39	1.69e-36
"chr2"	28626828	28627328	501	"*"	8.01	8.8	6.11	2.69	4.76e-39	1.72e-36
"chr10"	91642868	91643368	501	"*"	7.7	8.53	5.56	2.96	4.87e-39	1.75e-36
"chr3"	138188005	138188505	501	"*"	7.28	8.24	3.12	5.12	5.29e-39	1.89e-36
"chr7"	102933609	102934109	501	"*"	7.57	8.41	5.24	3.17	6.11e-39	2.18e-36
"chr11"	35907977	35908477	501	"*"	7.43	8.4	2.65	5.75	7.05e-39	2.5e-36
"chr15"	55915866	55916366	501	"*"	7.23	8.14	4.28	3.86	8.3e-39	2.93e-36
"chr2"	146939940	146940440	501	"*"	7.54	8.38	5.21	3.18	1.1e-38	3.87e-36
"chr20"	47317190	47317690	501	"*"	8.39	9.12	6.82	2.31	1.41e-38	4.95e-36
"chr3"	179180964	179181464	501	"*"	7.18	8.1	3.96	4.14	1.52e-38	5.32e-36
"chr2"	69772878	69773378	501	"*"	7.18	8.12	3.55	4.57	1.54e-38	5.36e-36
"chr4"	173917313	173917813	501	"*"	7.22	8.16	3.71	4.45	1.65e-38	5.7e-36
"chr1"	19427266	19427766	501	"*"	8.83	9.53	7.44	2.09	1.86e-38	6.4e-36
"chr1"	36200069	36200569	501	"*"	7.27	8.23	2.96	5.27	1.94e-38	6.66e-36
"chr10"	60956085	60956585	501	"*"	7.83	8.65	5.7	2.95	2.28e-38	7.79e-36
"chr1"	206892513	206893013	501	"*"	9.06	9.76	7.61	2.15	2.48e-38	8.44e-36
"chr14"	79542075	79542575	501	"*"	7.35	8.23	4.72	3.51	2.74e-38	9.29e-36
"chr12"	103851094	103851594	501	"*"	7.21	8.15	3.47	4.68	4.19e-38	1.42e-35
"chr2"	100281382	100281882	501	"*"	7.21	8.16	3.42	4.74	4.34e-38	1.46e-35
"chr17"	80064103	80064603	501	"*"	7.83	8.64	5.87	2.76	4.62e-38	1.55e-35
"chr12"	13135767	13136267	501	"*"	7.65	8.47	5.54	2.93	5e-38	1.67e-35
"chr18"	23826041	23826541	501	"*"	7.15	8.08	3.71	4.38	5.17e-38	1.72e-35
"chr15"	35308689	35309189	501	"*"	8.9	9.59	7.49	2.1	5.73e-38	1.9e-35
"chr12"	65648989	65649489	501	"*"	9.06	9.71	7.82	1.89	6.58e-38	2.17e-35
"chr18"	56139708	56140208	501	"*"	7.45	8.31	4.97	3.34	6.84e-38	2.25e-35
"chr11"	110185125	110185625	501	"*"	7.24	8.2	2.96	5.24	7.2e-38	2.35e-35
"chr2"	144553223	144553723	501	"*"	7.83	8.62	5.95	2.67	7.69e-38	2.5e-35
"chr2"	37590163	37590663	501	"*"	7.17	8.09	3.87	4.22	8.28e-38	2.69e-35
"chr2"	9699356	9699856	501	"*"	7.27	8.24	2.97	5.27	8.6e-38	2.78e-35
"chr3"	72336951	72337451	501	"*"	7.15	8.08	3.6	4.48	9.37e-38	3.02e-35
"chr14"	35403794	35404294	501	"*"	8.92	9.6	7.59	2.01	9.67e-38	3.1e-35
"chr20"	12166061	12166561	501	"*"	8.62	9.34	7.14	2.2	1.12e-37	3.57e-35
"chr19"	3429678	3430178	501	"*"	7.29	8.25	2.89	5.37	1.19e-37	3.8e-35
"chr8"	94725023	94725523	501	"*"	7.38	8.25	4.91	3.34	1.49e-37	4.73e-35
"chr5"	145830471	145830971	501	"*"	8.35	9.09	6.75	2.34	2.78e-37	8.76e-35
"chr12"	9115668	9116168	501	"*"	8.06	8.83	6.27	2.57	3.28e-37	1.03e-34
"chr21"	28822702	28823202	501	"*"	7.43	8.3	4.81	3.49	3.38e-37	1.06e-34
"chr19"	3336656	3337156	501	"*"	8.46	9.18	6.93	2.26	3.57e-37	1.11e-34
"chr5"	67257426	67257926	501	"*"	7.24	8.2	2.95	5.25	4.08e-37	1.27e-34
"chr10"	5554659	5555159	501	"*"	7.13	8.08	3.29	4.79	4.55e-37	1.41e-34
"chr8"	133492916	133493416	501	"*"	7.38	8.36	2.54	5.82	4.84e-37	1.49e-34
"chr14"	75535791	75536291	501	"*"	7.17	8.12	3.14	4.98	4.97e-37	1.53e-34
"chr4"	183588082	183588582	501	"*"	8.23	8.97	6.59	2.38	5.12e-37	1.57e-34
"chr9"	20297603	20298103	501	"*"	9.13	9.79	7.9	1.89	5.22e-37	1.59e-34
"chr2"	240251254	240251754	501	"*"	7.62	8.45	5.46	2.99	5.31e-37	1.61e-34
"chr10"	4266341	4266841	501	"*"	7.19	8.15	3.19	4.96	5.71e-37	1.73e-34
"chr15"	90667329	90667829	501	"*"	7.26	8.23	2.78	5.45	5.99e-37	1.81e-34
"chr7"	12669978	12670478	501	"*"	8.18	8.95	6.38	2.57	6.91e-37	2.08e-34
"chr1"	91725821	91726321	501	"*"	7.65	8.47	5.55	2.92	7.06e-37	2.11e-34
"chr6"	134472634	134473134	501	"*"	7.22	8.18	3.13	5.05	7.98e-37	2.38e-34
"chr16"	81604866	81605366	501	"*"	7.18	8.13	3.05	5.08	8.12e-37	2.41e-34
"chr3"	148951537	148952037	501	"*"	7.11	8.05	3.6	4.44	8.91e-37	2.64e-34
"chr3"	156615691	156616191	501	"*"	8.48	9.18	7.06	2.13	9.26e-37	2.73e-34
