"seqnames"	"start"	"end"	"width"	"strand"	"Conc"	"Conc_dex"	"Conc_control"	"Fold"	"p.value"	"FDR"
"chr9"	94135194	94135694	501	"*"	5.21	6.08	2.74	3.34	7.42e-10	5.3e-07
"chr7"	22727067	22727567	501	"*"	6.52	5.37	7.15	-1.78	7.7e-10	5.35e-07
"chr9"	70413704	70414204	501	"*"	7.09	7.64	6.2	1.44	9.05e-10	6.08e-07
"chr6"	158817958	158818458	501	"*"	7.48	7.99	6.66	1.33	9.2e-10	6.08e-07
"chr1"	156510756	156511256	501	"*"	5.01	5.91	2.23	3.68	9.63e-10	6.2e-07
"chr22"	30250485	30250985	501	"*"	4.76	0.85	5.72	-4.86	1.08e-09	6.77e-07
"chr1"	86788590	86789090	501	"*"	5.21	6.04	3	3.05	1.49e-09	9.12e-07
"chr22"	30205552	30206052	501	"*"	5.02	2.59	5.89	-3.3	1.87e-09	1.12e-06
"chr12"	50924612	50925112	501	"*"	5.05	5.92	2.48	3.44	2.66e-09	1.56e-06
"chr9"	21591540	21592040	501	"*"	5.23	3.24	6.03	-2.79	3.02e-09	1.73e-06
"chr7"	74022965	74023465	501	"*"	5.44	6.22	3.59	2.63	4.37e-09	2.46e-06
"chr3"	194135958	194136458	501	"*"	7.01	6.15	7.54	-1.39	4.48e-09	2.47e-06
"chr19"	9913432	9913932	501	"*"	5.16	3.16	5.97	-2.81	5.31e-09	2.86e-06
"chr1"	182391490	182391990	501	"*"	8.46	8.86	7.9	0.95	6.52e-09	3.38e-06
"chr6"	111559569	111560069	501	"*"	4.76	5.7	1.26	4.44	6.53e-09	3.38e-06
"chr12"	76266671	76267171	501	"*"	5.18	6	3.12	2.88	8.6e-09	4.37e-06
"chr13"	41457333	41457833	501	"*"	7.31	7.83	6.47	1.36	9.42e-09	4.7e-06
"chr1"	116373021	116373521	501	"*"	7.89	8.37	7.16	1.22	1.13e-08	5.51e-06
"chrX"	107676728	107677228	501	"*"	5.81	6.54	4.25	2.29	1.17e-08	5.54e-06
"chr11"	19367367	19367867	501	"*"	5.44	6.2	3.69	2.51	1.18e-08	5.54e-06
"chr2"	237097850	237098350	501	"*"	4.76	5.66	1.88	3.77	1.37e-08	6.37e-06
"chr15"	68586002	68586502	501	"*"	5.07	3.03	5.88	-2.85	1.42e-08	6.46e-06
"chr6"	131950598	131951098	501	"*"	9.35	9.76	8.78	0.97	1.45e-08	6.47e-06
"chr10"	44978526	44979026	501	"*"	7.45	7.91	6.75	1.16	1.49e-08	6.58e-06
"chr2"	205657524	205658024	501	"*"	4.69	5.63	1.06	4.57	1.85e-08	8.02e-06
"chr7"	95596192	95596692	501	"*"	5.02	6	-0.16	6.16	1.94e-08	8.25e-06
"chr11"	122169742	122170242	501	"*"	4.56	1.37	5.48	-4.11	2.16e-08	9.06e-06
"chr14"	96255746	96256246	501	"*"	5.75	4.4	6.43	-2.03	2.21e-08	9.1e-06
"chr9"	115117838	115118338	501	"*"	5.88	4.62	6.54	-1.92	3.16e-08	1.28e-05
"chr15"	60426943	60427443	501	"*"	5.1	5.91	3.07	2.84	3.73e-08	1.49e-05
"chr5"	16459332	16459832	501	"*"	4.66	5.57	1.53	4.04	4.02e-08	1.58e-05
"chr11"	122100144	122100644	501	"*"	7.39	6.73	7.85	-1.12	4.07e-08	1.58e-05
"chr3"	30496480	30496980	501	"*"	5.8	6.5	4.39	2.11	4.17e-08	1.58e-05
"chr14"	52313973	52314473	501	"*"	7.53	7.99	6.86	1.12	4.22e-08	1.58e-05
"chr5"	65480301	65480801	501	"*"	6.32	5.21	6.94	-1.72	4.24e-08	1.58e-05
"chr15"	25737093	25737593	501	"*"	4.78	5.67	2.03	3.64	4.91e-08	1.8e-05
"chr5"	150778569	150779069	501	"*"	7.65	8.08	7.03	1.04	4.97e-08	1.8e-05
"chr1"	156704975	156705475	501	"*"	4.65	2.01	5.53	-3.52	5.47e-08	1.91e-05
"chr22"	42991123	42991623	501	"*"	4.88	5.75	2.31	3.44	5.49e-08	1.91e-05
"chr8"	94725049	94725549	501	"*"	4.64	5.54	1.72	3.82	5.49e-08	1.91e-05
"chr6"	35601916	35602416	501	"*"	4.58	5.51	1.06	4.45	5.73e-08	1.97e-05
"chr5"	95822417	95822917	501	"*"	6.38	6.98	5.35	1.62	7.26e-08	2.46e-05
"chr19"	46300559	46301059	501	"*"	4.66	5.56	1.71	3.84	8.47e-08	2.83e-05
"chr21"	32411636	32412136	501	"*"	6.73	7.26	5.9	1.36	8.75e-08	2.87e-05
"chr8"	118951650	118952150	501	"*"	5.82	4.54	6.49	-1.95	8.8e-08	2.87e-05
"chr8"	47737886	47738386	501	"*"	8.17	8.57	7.62	0.95	9.68e-08	3.08e-05
"chr5"	172775480	172775980	501	"*"	4.77	5.74	-0.16	5.9	9.69e-08	3.08e-05
"chr11"	114154475	114154975	501	"*"	4.84	5.68	2.58	3.1	1.12e-07	3.53e-05
"chr7"	107971954	107972454	501	"*"	5.71	6.4	4.34	2.06	1.16e-07	3.59e-05
"chr6"	133763878	133764378	501	"*"	4.53	5.44	1.48	3.96	1.19e-07	3.65e-05
"chr12"	51923448	51923948	501	"*"	4.87	5.72	2.55	3.16	1.2e-07	3.65e-05
"chr10"	97596097	97596597	501	"*"	4.71	5.68	-0.16	5.84	1.45e-07	4.36e-05
"chr6"	128882927	128883427	501	"*"	6.1	6.75	4.88	1.88	1.53e-07	4.51e-05
"chr1"	209835572	209836072	501	"*"	5.69	4.36	6.36	-2	1.55e-07	4.51e-05
"chr12"	51905166	51905666	501	"*"	5.55	6.25	4.12	2.13	1.55e-07	4.51e-05
"chr6"	35725504	35726004	501	"*"	4.48	5.42	0.76	4.66	1.8e-07	5.17e-05
"chr3"	156615680	156616180	501	"*"	5.35	6.1	3.73	2.37	1.88e-07	5.35e-05
"chr1"	145996282	145996782	501	"*"	8.83	9.18	8.36	0.82	2.04e-07	5.68e-05
"chr11"	45209803	45210303	501	"*"	4.51	5.46	0.37	5.09	2.05e-07	5.68e-05
"chr12"	89347272	89347772	501	"*"	5.18	3.48	5.94	-2.45	2.06e-07	5.68e-05
"chr3"	156790129	156790629	501	"*"	4.66	5.64	-0.16	5.79	2.25e-07	6.12e-05
"chr1"	207866763	207867263	501	"*"	4.45	5.4	0.76	4.64	2.32e-07	6.25e-05
"chr22"	17570860	17571360	501	"*"	4.64	5.61	-0.16	5.76	2.37e-07	6.32e-05
"chr1"	151992611	151993111	501	"*"	7.17	7.66	6.41	1.25	2.4e-07	6.33e-05
"chr7"	108002866	108003366	501	"*"	6.95	7.48	6.11	1.38	2.55e-07	6.66e-05
"chr1"	171142081	171142581	501	"*"	4.53	5.42	1.72	3.7	2.7e-07	6.98e-05
"chr11"	122038523	122039023	501	"*"	4.49	1.67	5.39	-3.72	2.78e-07	7.13e-05
"chr12"	103840941	103841441	501	"*"	7.22	7.68	6.55	1.13	2.81e-07	7.13e-05
"chr19"	18007768	18008268	501	"*"	6.06	6.68	4.93	1.75	2.95e-07	7.43e-05
"chr9"	112012479	112012979	501	"*"	4.42	5.35	0.92	4.43	3.04e-07	7.56e-05
"chr6"	158707323	158707823	501	"*"	4.65	5.51	2.26	3.25	3.44e-07	8.5e-05
"chr6"	140857723	140858223	501	"*"	5.17	5.92	3.47	2.45	3.53e-07	8.62e-05
"chr1"	94743854	94744354	501	"*"	4.56	5.54	-0.16	5.69	3.86e-07	9.35e-05
"chr6"	34236513	34237013	501	"*"	7.53	6.92	7.96	-1.04	3.99e-07	9.59e-05
"chr11"	114162729	114163229	501	"*"	4.68	5.54	2.26	3.27	4.21e-07	1e-04
"chr1"	112360361	112360861	501	"*"	4.46	5.36	1.53	3.82	4.68e-07	0.00011
"chr15"	81182696	81183196	501	"*"	5.63	6.31	4.31	2	4.83e-07	0.000113
"chr9"	88852809	88853309	501	"*"	4.37	5.3	0.92	4.37	5.11e-07	0.000118
"chr5"	149271779	149272279	501	"*"	5.98	6.59	4.9	1.69	5.5e-07	0.000126
"chr14"	25049773	25050273	501	"*"	5.76	6.41	4.56	1.85	5.87e-07	0.000134
"chr20"	12166078	12166578	501	"*"	4.92	5.7	3.07	2.63	6.08e-07	0.000137
"chr22"	45526694	45527194	501	"*"	4.37	5.3	0.92	4.38	6.26e-07	0.000139
"chr4"	27248626	27249126	501	"*"	4.49	1.82	5.38	-3.56	6.27e-07	0.000139
"chr3"	45123330	45123830	501	"*"	4.85	2.98	5.64	-2.66	6.38e-07	0.00014
"chrX"	38220577	38221077	501	"*"	5.52	6.19	4.21	1.98	6.51e-07	0.000142
"chr1"	145892081	145892581	501	"*"	5.63	6.29	4.37	1.92	6.7e-07	0.000144
"chr6"	132020031	132020531	501	"*"	4.48	5.45	-0.16	5.61	6.72e-07	0.000144
"chr10"	102661038	102661538	501	"*"	5.26	3.72	5.99	-2.27	6.87e-07	0.000146
"chr8"	123689893	123690393	501	"*"	4.75	5.57	2.58	2.99	7.11e-07	0.00015
"chr9"	21511108	21511608	501	"*"	4.2	0.71	5.14	-4.43	7.15e-07	0.00015
"chr1"	169461061	169461561	501	"*"	4.54	5.42	1.88	3.54	7.38e-07	0.000154
"chr1"	182143922	182144422	501	"*"	4.47	5.44	-0.16	5.6	7.73e-07	0.00016
"chr21"	28805724	28806224	501	"*"	5.41	6.1	4.04	2.06	7.8e-07	0.00016
"chr12"	32454033	32454533	501	"*"	4.34	5.27	0.92	4.35	7.98e-07	0.000162
"chr2"	109324768	109325268	501	"*"	4.33	5.25	1.13	4.12	8.51e-07	0.000172
"chr2"	200585838	200586338	501	"*"	4.45	5.33	1.8	3.53	8.72e-07	0.000174
"chr20"	47334063	47334563	501	"*"	5.49	6.18	4.15	2.03	9e-07	0.000177
"chr11"	131910796	131911296	501	"*"	4.97	3.29	5.73	-2.44	9.12e-07	0.000177
"chr11"	111911242	111911742	501	"*"	5.53	6.2	4.22	1.98	9.12e-07	0.000177
"chr11"	62546514	62547014	501	"*"	8.46	8.8	8.01	0.79	9.12e-07	0.000177
"chr20"	36951462	36951962	501	"*"	5.97	6.59	4.88	1.71	9.17e-07	0.000177
"chr10"	72273705	72274205	501	"*"	8.75	9.1	8.27	0.84	9.48e-07	0.000181
"chr17"	65463281	65463781	501	"*"	4.3	5.22	0.92	4.3	9.57e-07	0.000181
"chr12"	47736921	47737421	501	"*"	4.31	5.23	1.06	4.17	9.64e-07	0.000181
"chr8"	141018637	141019137	501	"*"	5	5.77	3.26	2.51	9.68e-07	0.000181
"chr13"	109781331	109781831	501	"*"	5.72	6.4	4.41	1.99	9.91e-07	0.000184
"chr11"	14191132	14191632	501	"*"	4.44	5.41	-0.16	5.56	9.99e-07	0.000184
"chr13"	83065103	83065603	501	"*"	4.67	5.51	2.45	3.05	1.03e-06	0.000187
"chr10"	4283718	4284218	501	"*"	5.33	6.04	3.86	2.18	1.03e-06	0.000187
"chr17"	15262259	15262759	501	"*"	7.46	7.88	6.86	1.02	1.06e-06	0.000193
"chr18"	45777403	45777903	501	"*"	4.23	1.27	5.13	-3.87	1.08e-06	0.000194
"chr9"	108142600	108143100	501	"*"	4.4	5.37	-0.16	5.52	1.18e-06	0.00021
"chr16"	84819767	84820267	501	"*"	7.49	7.91	6.91	0.99	1.19e-06	0.000211
"chr11"	65897976	65898476	501	"*"	5.61	4.38	6.26	-1.88	1.21e-06	0.000214
"chrX"	107775626	107776126	501	"*"	4.26	5.2	0.76	4.44	1.23e-06	0.000215
"chr1"	192530841	192531341	501	"*"	4.73	5.54	2.69	2.84	1.29e-06	0.000225
"chr12"	76275432	76275932	501	"*"	4.33	5.28	0.48	4.8	1.32e-06	0.000227
"chr9"	98356996	98357496	501	"*"	4.94	5.71	3.18	2.53	1.37e-06	0.000235
"chr18"	45637978	45638478	501	"*"	4.24	5.17	0.84	4.33	1.39e-06	0.000237
"chr5"	98340996	98341496	501	"*"	4.21	1.27	5.11	-3.85	1.42e-06	0.000241
"chr16"	67173884	67174384	501	"*"	6	6.6	4.94	1.66	1.48e-06	0.000249
"chr17"	21281942	21282442	501	"*"	4.29	1.5	5.18	-3.68	1.52e-06	0.000255
"chr7"	12669982	12670482	501	"*"	4.9	5.67	3.12	2.55	1.54e-06	0.000256
"chr1"	91885870	91886370	501	"*"	6.45	6.97	5.62	1.35	1.56e-06	0.000257
"chr4"	80289895	80290395	501	"*"	4.5	2.27	5.34	-3.08	1.57e-06	0.000258
"chr16"	56682270	56682770	501	"*"	7.54	7.93	6.99	0.94	1.68e-06	0.000274
"chr19"	18020205	18020705	501	"*"	4.78	5.58	2.88	2.7	1.72e-06	0.000279
"chr11"	114160216	114160716	501	"*"	4.37	5.34	-0.16	5.49	1.74e-06	0.000281
"chr11"	111977071	111977571	501	"*"	6.61	7.11	5.85	1.26	1.75e-06	0.000281
"chr1"	19427176	19427676	501	"*"	5.74	6.37	4.57	1.8	1.77e-06	0.000281
"chr5"	67268111	67268611	501	"*"	4.34	5.31	-0.16	5.46	1.82e-06	0.000287
"chr15"	55916609	55917109	501	"*"	5.52	6.18	4.28	1.9	1.86e-06	0.000293
"chr9"	121369953	121370453	501	"*"	7.51	7.91	6.96	0.95	1.91e-06	0.000299
"chr5"	172425988	172426488	501	"*"	4.25	5.18	0.76	4.42	2.12e-06	0.000329
"chr9"	21547231	21547731	501	"*"	4.06	0.63	5	-4.37	2.25e-06	0.000347
"chr2"	37802903	37803403	501	"*"	5.53	6.19	4.28	1.91	2.26e-06	0.000348
"chr4"	87530848	87531348	501	"*"	4.29	5.26	-0.16	5.41	2.29e-06	0.000349
"chr3"	188220893	188221393	501	"*"	4.39	5.27	1.76	3.5	2.3e-06	0.00035
"chr5"	95720258	95720758	501	"*"	4.18	5.12	0.48	4.64	2.49e-06	0.000375
"chr2"	110105940	110106440	501	"*"	4.76	2.87	5.55	-2.68	2.5e-06	0.000376
"chr5"	140332026	140332526	501	"*"	5.05	3.55	5.77	-2.22	2.62e-06	0.000389
"chr22"	35384697	35385197	501	"*"	4.04	0.16	4.99	-4.83	2.62e-06	0.000389
"chr2"	215848579	215849079	501	"*"	4.27	5.24	-0.16	5.39	2.64e-06	0.000389
"chr12"	46774031	46774531	501	"*"	4.73	5.54	2.74	2.8	2.71e-06	0.000397
"chr1"	192812234	192812734	501	"*"	4.97	5.73	3.26	2.47	2.81e-06	0.00041
"chr6"	129133782	129134282	501	"*"	4.25	5.22	-0.16	5.37	2.93e-06	0.000425
"chr8"	38728070	38728570	501	"*"	5.11	5.83	3.6	2.23	3.07e-06	0.000444
"chr2"	167144128	167144628	501	"*"	4.17	5.09	0.92	4.16	3.23e-06	0.000462
"chr15"	33098220	33098720	501	"*"	4.02	0.63	4.95	-4.33	3.24e-06	0.000462
"chr17"	17575620	17576120	501	"*"	4.24	5.21	-0.16	5.36	3.44e-06	0.000488
"chr1"	9376955	9377455	501	"*"	4.41	5.27	2	3.28	3.5e-06	0.000494
"chr20"	4823183	4823683	501	"*"	6.11	6.66	5.19	1.47	3.61e-06	0.000506
"chr14"	23154157	23154657	501	"*"	4.84	5.61	3.12	2.49	3.76e-06	0.000525
"chr19"	6744888	6745388	501	"*"	4.84	5.6	3.12	2.49	3.79e-06	0.000527
"chr2"	216548692	216549192	501	"*"	4.28	5.17	1.53	3.63	3.91e-06	0.000541
"chr20"	41248791	41249291	501	"*"	4.9	5.66	3.2	2.46	4.05e-06	0.000557
"chr10"	97762819	97763319	501	"*"	4.25	5.16	1.31	3.84	4.27e-06	0.000585
"chr8"	30562931	30563431	501	"*"	4.27	5.15	1.53	3.62	4.3e-06	0.000585
"chr5"	140338453	140338953	501	"*"	4.96	3.33	5.7	-2.38	4.32e-06	0.000585
"chr12"	66189093	66189593	501	"*"	5.63	6.25	4.52	1.73	4.38e-06	0.00059
"chr1"	71089860	71090360	501	"*"	4.18	5.15	-0.16	5.3	4.6e-06	0.000613
"chr4"	128660250	128660750	501	"*"	5.44	6.1	4.19	1.91	4.6e-06	0.000613
"chr13"	113122600	113123100	501	"*"	4.52	5.35	2.38	2.97	4.62e-06	0.000613
"chr5"	149141549	149142049	501	"*"	6.16	6.71	5.27	1.45	4.89e-06	0.000646
"chr17"	59371427	59371927	501	"*"	4.18	5.15	-0.16	5.3	5.04e-06	0.000659
"chr22"	41285909	41286409	501	"*"	7.37	6.82	7.76	-0.94	5.04e-06	0.000659
"chr1"	61055190	61055690	501	"*"	4.24	5.12	1.58	3.55	5.19e-06	0.000675
"chr6"	12290089	12290589	501	"*"	5.85	4.82	6.45	-1.62	5.23e-06	0.000677
"chr18"	49160156	49160656	501	"*"	4.36	5.21	2.03	3.17	5.33e-06	0.000686
"chr8"	121696010	121696510	501	"*"	4.19	5.15	-0.16	5.31	5.37e-06	0.000688
"chr6"	111564523	111565023	501	"*"	5.59	6.24	4.39	1.85	5.52e-06	0.000701
"chr8"	38757055	38757555	501	"*"	5.88	6.46	4.91	1.55	5.53e-06	0.000701
"chr3"	39177814	39178314	501	"*"	6.3	6.85	5.41	1.44	5.55e-06	0.000701
"chr19"	2503835	2504335	501	"*"	5.73	4.63	6.34	-1.71	5.65e-06	0.000711
"chr15"	80815533	80816033	501	"*"	4.01	-0.37	4.97	-5.34	5.78e-06	0.000724
"chr13"	40236120	40236620	501	"*"	4.37	5.22	2.07	3.15	5.85e-06	0.000729
"chr6"	111628204	111628704	501	"*"	4.19	5.15	-0.16	5.31	5.94e-06	0.000736
"chr5"	127707277	127707777	501	"*"	4.14	5.1	-0.16	5.26	6.01e-06	0.000742
"chr10"	102782872	102783372	501	"*"	4.77	5.55	2.92	2.63	6.08e-06	0.000747
"chr1"	52669705	52670205	501	"*"	4.16	5.13	-0.16	5.28	6.29e-06	0.000768
"chr15"	80791052	80791552	501	"*"	3.93	0.27	4.87	-4.61	6.63e-06	0.000807
"chr8"	30215707	30216207	501	"*"	4.77	5.55	3	2.55	6.76e-06	0.000819
"chr3"	102130152	102130652	501	"*"	4.15	5.11	-0.16	5.27	6.89e-06	0.000831
"chr1"	230101369	230101869	501	"*"	5.06	5.77	3.58	2.19	7.24e-06	0.000869
"chr8"	133192661	133193161	501	"*"	5.04	5.76	3.57	2.19	7.32e-06	0.000875
"chr3"	37862207	37862707	501	"*"	5.65	6.26	4.55	1.72	7.42e-06	0.000883
"chr8"	125637392	125637892	501	"*"	3.97	-0.37	4.93	-5.3	7.49e-06	0.000887
"chr18"	3773177	3773677	501	"*"	4.1	5.07	-0.16	5.22	7.62e-06	0.000899
"chr3"	105366588	105367088	501	"*"	7.07	7.53	6.39	1.14	7.96e-06	0.000934
"chr1"	205321491	205321991	501	"*"	6.58	5.87	7.05	-1.19	8e-06	0.000934
"chr15"	39283512	39284012	501	"*"	4.09	5.05	-0.16	5.21	8.02e-06	0.000934
"chr21"	28762128	28762628	501	"*"	4.71	5.48	2.98	2.5	8.16e-06	0.000945
"chr14"	23183373	23183873	501	"*"	4.42	5.24	2.29	2.96	8.39e-06	0.000967
"chr11"	70019524	70020024	501	"*"	3.95	0.71	4.87	-4.17	8.59e-06	0.000987
"chr5"	157563420	157563920	501	"*"	3.94	0.71	4.86	-4.15	8.74e-06	0.000997
"chr12"	27343499	27343999	501	"*"	3.97	0.16	4.91	-4.75	8.77e-06	0.000997
"chr20"	44730609	44731109	501	"*"	4.19	1.55	5.07	-3.52	8.8e-06	0.000997
"chr2"	109322148	109322648	501	"*"	4.33	5.18	1.96	3.23	8.84e-06	0.000997
"chr7"	120989211	120989711	501	"*"	5.34	4.16	5.99	-1.83	8.87e-06	0.000997
"chr17"	61325831	61326331	501	"*"	5.89	4.97	6.45	-1.48	9.35e-06	0.00105
"chr12"	51907230	51907730	501	"*"	5.55	6.18	4.39	1.8	9.43e-06	0.00105
"chr7"	22732452	22732952	501	"*"	4.8	3.23	5.54	-2.31	9.76e-06	0.00108
"chr2"	229407101	229407601	501	"*"	4.39	5.25	2.03	3.22	9.92e-06	0.00109
"chr13"	30340521	30341021	501	"*"	4.08	4.98	1.2	3.78	9.97e-06	0.00109
"chr5"	122154747	122155247	501	"*"	5.23	5.89	3.95	1.94	9.97e-06	0.00109
"chr9"	91428989	91429489	501	"*"	4.27	5.15	1.71	3.43	1.01e-05	0.0011
"chr6"	25006422	25006922	501	"*"	4.08	5.04	-0.16	5.2	1.01e-05	0.0011
"chr7"	55018816	55019316	501	"*"	7.36	7.77	6.79	0.98	1.04e-05	0.00112
"chr17"	8142785	8143285	501	"*"	4.05	5.01	-0.16	5.17	1.04e-05	0.00112
"chr19"	11539058	11539558	501	"*"	5.18	3.83	5.86	-2.03	1.04e-05	0.00112
"chr12"	102023296	102023796	501	"*"	4.1	5.06	-0.16	5.22	1.05e-05	0.00113
"chr6"	35370496	35370996	501	"*"	3.96	0.85	4.87	-4.02	1.1e-05	0.00117
"chr17"	21297951	21298451	501	"*"	3.99	1.04	4.89	-3.85	1.12e-05	0.00118
"chr14"	61466101	61466601	501	"*"	4.48	5.29	2.4	2.89	1.13e-05	0.00119
"chr7"	27116795	27117295	501	"*"	4.2	1.67	5.07	-3.4	1.14e-05	0.0012
"chr14"	85471664	85472164	501	"*"	4.2	1.92	5.05	-3.13	1.17e-05	0.00122
"chr16"	56632463	56632963	501	"*"	5.24	5.9	3.99	1.91	1.2e-05	0.00125
"chr17"	8153980	8154480	501	"*"	4.94	5.7	3.19	2.51	1.21e-05	0.00125
"chr11"	128053147	128053647	501	"*"	4	1.1	4.9	-3.79	1.27e-05	0.00131
"chr5"	172770910	172771410	501	"*"	9.62	9.9	9.27	0.63	1.28e-05	0.00132
"chr14"	68550374	68550874	501	"*"	3.97	4.9	0.48	4.42	1.32e-05	0.00136
"chr15"	34794862	34795362	501	"*"	3.88	-0.37	4.84	-5.21	1.32e-05	0.00136
"chr3"	30492642	30493142	501	"*"	4.03	4.99	-0.16	5.14	1.38e-05	0.0014
"chr20"	50395247	50395747	501	"*"	4	4.96	-0.16	5.11	1.41e-05	0.00143
"chr11"	5225102	5225602	501	"*"	4.04	5	-0.16	5.16	1.42e-05	0.00144
"chr3"	62159718	62160218	501	"*"	4	4.95	-0.16	5.11	1.43e-05	0.00144
"chr10"	103852266	103852766	501	"*"	5.19	5.87	3.87	2	1.44e-05	0.00144
"chr3"	156668337	156668837	501	"*"	3.96	4.89	0.48	4.41	1.44e-05	0.00144
"chr7"	151680692	151681192	501	"*"	4	4.95	-0.16	5.11	1.45e-05	0.00144
"chr5"	140336161	140336661	501	"*"	3.91	0.92	4.81	-3.89	1.46e-05	0.00145
"chr15"	67127938	67128438	501	"*"	4.98	3.6	5.68	-2.08	1.46e-05	0.00145
"chr11"	19995048	19995548	501	"*"	4.07	4.97	1.26	3.71	1.48e-05	0.00146
"chr18"	58579008	58579508	501	"*"	4.68	3.04	5.43	-2.39	1.51e-05	0.00148
"chr6"	12297757	12298257	501	"*"	4.12	1.55	4.99	-3.45	1.51e-05	0.00148
"chr11"	122202048	122202548	501	"*"	6.82	6.19	7.26	-1.08	1.52e-05	0.00148
"chr8"	47631882	47632382	501	"*"	4.01	4.97	-0.16	5.12	1.52e-05	0.00148
"chr11"	61891258	61891758	501	"*"	7.13	7.53	6.56	0.98	1.53e-05	0.00148
"chr4"	158171147	158171647	501	"*"	3.98	4.94	-0.16	5.1	1.54e-05	0.00148
"chr18"	11981153	11981653	501	"*"	6.22	6.72	5.43	1.3	1.54e-05	0.00148
"chr20"	4835480	4835980	501	"*"	4.15	5.02	1.58	3.44	1.55e-05	0.00148
"chr2"	216549582	216550082	501	"*"	3.98	4.94	-0.16	5.1	1.56e-05	0.00148
"chr19"	2050955	2051455	501	"*"	8.17	8.51	7.71	0.8	1.57e-05	0.00149
"chr14"	22848336	22848836	501	"*"	5.84	4.92	6.4	-1.48	1.63e-05	0.00154
"chr2"	10122545	10123045	501	"*"	4.88	3.44	5.58	-2.15	1.63e-05	0.00154
"chr9"	21502001	21502501	501	"*"	3.91	0.85	4.82	-3.97	1.64e-05	0.00154
"chr4"	183588179	183588679	501	"*"	4.44	5.26	2.34	2.92	1.65e-05	0.00154
