"seqnames"	"start"	"end"	"width"	"strand"	"width.1"	"strand.1"	"Conc"	"Conc_dex"	"Conc_control"	"Fold"	"p.value"	"FDR"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENSEMBL"	"SYMBOL"	"GENENAME"
"chrX"	107716779	107717278	500	"*"	501	"*"	6.87	7.54	5.61	1.93	3.55e-14	8.52e-11	"Promoter (<=1kb)"	23	107713221	107717135	3915	2	"1831"	"uc004eng.4"	0	"ENSG00000157514"	"TSC22D3"	"TSC22 domain family member 3"
"chr12"	32399363	32399862	500	"*"	501	"*"	5.51	6.47	1.31	5.16	1.49e-13	3.29e-10	"Promoter (<=1kb)"	12	32399529	32640533	241005	1	"121512"	"uc058mof.1"	0	"ENSG00000139132"	"FGD4"	"FYVE, RhoGEF and PH domain containing 4"
"chr11"	130448424	130448923	500	"*"	501	"*"	5.81	6.63	3.73	2.9	2.97e-13	6.03e-10	"Promoter (<=1kb)"	11	130448974	130476641	27668	1	"170689"	"uc010scd.3"	-51	"ENSG00000166106"	"ADAMTS15"	"ADAM metallopeptidase with thrombospondin type 1 motif 15"
"chr9"	88076434	88076933	500	"*"	501	"*"	5.8	6.63	3.63	3.01	6.25e-13	1.18e-09	"Distal Intergenic"	9	87966446	87974753	8308	2	"23552"	"uc004aps.4"	-101681	"ENSG00000156345"	"CDK20"	"cyclin dependent kinase 20"
"chr19"	55370126	55370625	500	"*"	501	"*"	7.87	7.01	8.4	-1.39	1.13e-12	2e-09	"Promoter (<=1kb)"	19	55364389	55370373	5985	2	"3589"	"uc002qks.3"	0	"ENSG00000095752"	"IL11"	"interleukin 11"
"chr3"	126355963	126356462	500	"*"	501	"*"	5.38	6.34	1.06	5.28	1.66e-12	2.73e-09	"Promoter (<=1kb)"	3	126342635	126357442	14808	2	"28999"	"uc011bkk.2"	980	"ENSG00000163884"	"KLF15"	"Kruppel like factor 15"
"chr9"	70480468	70480967	500	"*"	501	"*"	5.5	6.36	3.15	3.21	6.16e-12	9.58e-09	"Distal Intergenic"	9	70384597	70414624	30028	2	"687"	"uc004aht.4"	-65844	"ENSG00000119138"	"KLF9"	"Kruppel like factor 9"
"chr17"	29615492	29615991	500	"*"	501	"*"	5.94	6.73	4.04	2.7	7.79e-12	1.14e-08	"Promoter (2-3kb)"	17	29614756	29618117	3362	2	"84940"	"uc002hen.4"	2126	"ENSG00000167549"	"CORO6"	"coronin 6"
"chr7"	130912378	130912877	500	"*"	501	"*"	7.8	7.03	8.3	-1.27	1.56e-11	2.16e-08	"Intron (uc064ibh.1/100506860, intron 2 of 4)"	7	130853720	130928649	74930	1	"100506860"	"uc064ibh.1"	58658	NA	"LINC00513"	"long intergenic non-protein coding RNA 513"
"chr6"	35688624	35689123	500	"*"	501	"*"	7.54	8.07	6.68	1.39	3.76e-11	4.95e-08	"Promoter (<=1kb)"	6	35573585	35688915	115331	2	"2289"	"uc011dte.1"	0	"ENSG00000096060"	"FKBP5"	"FK506 binding protein 5"
"chr20"	50415529	50416028	500	"*"	501	"*"	6.02	6.8	4.19	2.61	3.94e-11	4.95e-08	"Distal Intergenic"	20	50310711	50321342	10632	2	"101927586"	"uc032pmh.1"	-94187	"ENSG00000233077"	"LINC01271"	"long intergenic non-protein coding RNA 1271"
"chr22"	30196745	30197244	500	"*"	501	"*"	6.57	5.32	7.23	-1.91	5.87e-11	7.04e-08	"Intron (uc062dal.1/uc062dal.1, intron 1 of 2)"	22	30243533	30246739	3207	2	"3976"	"uc011aks.3"	49495	"ENSG00000128342"	"LIF"	"LIF, interleukin 6 family cytokine"
"chr16"	72990203	72990702	500	"*"	501	"*"	5.31	6.18	2.76	3.42	6.44e-11	7.4e-08	"Intron (uc002fck.4/463, intron 1 of 9)"	16	72782885	73048375	265491	2	"463"	"uc002fck.4"	57673	"ENSG00000140836"	"ZFHX3"	"zinc finger homeobox 3"
"chr3"	194574718	194575217	500	"*"	501	"*"	4.98	1.04	5.93	-4.89	8.52e-11	9.09e-08	"Distal Intergenic"	3	194584011	194590260	6250	1	"100507297"	"uc031scw.2"	-8794	NA	"TMEM44-AS1"	"TMEM44 antisense RNA 1"
"chr6"	35731602	35732101	500	"*"	501	"*"	7.15	7.73	6.16	1.57	8.6e-11	9.09e-08	"Downstream (1-2kb)"	6	35573585	35728583	154999	2	"2289"	"uc003oky.3"	-3019	"ENSG00000096060"	"FKBP5"	"FK506 binding protein 5"
"chr19"	39406654	39407153	500	"*"	501	"*"	9	9.42	8.41	1.02	1.47e-10	1.5e-07	"Promoter (<=1kb)"	19	39406813	39409412	2600	1	"7538"	"uc002olh.3"	0	"ENSG00000128016"	"ZFP36"	"ZFP36 ring finger protein"
"chr11"	122180555	122181054	500	"*"	501	"*"	7.17	6.27	7.72	-1.45	1.57e-10	1.53e-07	"Intron (uc058int.1/399959, intron 1 of 2)"	11	122155422	122203062	47641	2	"399959"	"uc058int.1"	22008	"ENSG00000255248"	"MIR100HG"	"mir-100-let-7a-2-mir-125b-1 cluster host gene"
"chr5"	98796155	98796654	500	"*"	501	"*"	5.95	4.48	6.67	-2.19	1.63e-10	1.54e-07	"3' UTR"	5	98769295	98796494	27200	1	"285704"	"uc003knc.3"	26860	"ENSG00000174136"	"RGMB"	"repulsive guidance molecule BMP co-receptor b"
"chr6"	25296843	25297342	500	"*"	501	"*"	5.58	6.36	3.73	2.63	2.65e-10	2.41e-07	"Intron (uc031smx.3/55604, intron 2 of 8)"	6	25279078	25452597	173520	1	"55604"	"uc031smx.3"	17765	"ENSG00000079691"	"CARMIL1"	"capping protein regulator and myosin 1 linker 1"
"chr11"	114179269	114179768	500	"*"	501	"*"	5.59	6.58	-0.16	6.73	2.88e-10	2.47e-07	"Intron (uc001pop.4/7704, intron 3 of 6)"	11	114059593	114250676	191084	1	"7704"	"uc001pop.4"	119676	"ENSG00000109906"	"ZBTB16"	"zinc finger and BTB domain containing 16"
"chr2"	20438554	20439053	500	"*"	501	"*"	5.23	6.08	2.84	3.24	2.9e-10	2.47e-07	"Distal Intergenic"	2	20447074	20449445	2372	1	"388"	"uc002rdv.4"	-8021	"ENSG00000143878"	"RHOB"	"ras homolog family member B"
"chr10"	74056350	74056849	500	"*"	501	"*"	5.8	6.54	4.17	2.37	3.65e-10	3.01e-07	"Intron (uc009xrr.4/7414, intron 4 of 22)"	10	73995193	74120160	124968	1	"7414"	"uc009xrr.4"	61157	"ENSG00000035403"	"VCL"	"vinculin"
"chr17"	59825632	59826131	500	"*"	501	"*"	5.59	6.37	3.79	2.57	3.95e-10	3.16e-07	"Intron (uc002ixu.5/81671, intron 10 of 11)"	17	59707465	59841092	133628	1	"81671"	"uc002ixu.5"	118167	"ENSG00000062716"	"VMP1"	"vacuole membrane protein 1"
"chr1"	94541427	94541926	500	"*"	501	"*"	8.11	8.57	7.43	1.14	5.14e-10	3.99e-07	"Promoter (<=1kb)"	1	94529225	94541800	12576	2	"2152"	"uc001dqr.4"	0	"ENSG00000117525"	"F3"	"coagulation factor III, tissue factor"
"chr9"	101410226	101410725	500	"*"	501	"*"	5.67	6.44	3.95	2.49	5.36e-10	4.05e-07	"3' UTR"	9	101398873	101410660	11788	1	"7743"	"uc004bbi.3"	11353	"ENSG00000136870"	"ZNF189"	"zinc finger protein 189"
"chr2"	46850078	46850577	500	"*"	501	"*"	7.03	6.14	7.57	-1.43	7.36e-10	5.3e-07	"Intron (uc061iwi.1/388948, intron 1 of 2)"	2	46827864	46859007	31144	1	"100134259"	"uc002rvi.4"	22214	"ENSG00000239332"	"LINC01119"	"long intergenic non-protein coding RNA 1119"
"chr9"	94135195	94135694	500	"*"	501	"*"	5.21	6.08	2.74	3.34	7.42e-10	5.3e-07	"Distal Intergenic"	9	94100087	94107912	7826	1	"138639"	"uc064ukw.1"	35108	"ENSG00000158079"	"PTPDC1"	"protein tyrosine phosphatase domain containing 1"
"chr7"	22727068	22727567	500	"*"	501	"*"	6.52	5.37	7.15	-1.78	7.7e-10	5.35e-07	"Promoter (<=1kb)"	7	22727147	22729647	2501	1	"3569"	"uc064bxt.1"	0	"ENSG00000136244"	"IL6"	"interleukin 6"
"chr9"	70413705	70414204	500	"*"	501	"*"	7.09	7.64	6.2	1.44	9.05e-10	6.08e-07	"Promoter (<=1kb)"	9	70384597	70414624	30028	2	"687"	"uc004aht.4"	420	"ENSG00000119138"	"KLF9"	"Kruppel like factor 9"
"chr6"	158817959	158818458	500	"*"	501	"*"	7.48	7.99	6.66	1.33	9.2e-10	6.08e-07	"Promoter (<=1kb)"	6	158818011	158820593	2583	1	"101409257"	"uc063soa.1"	0	NA	"EZR-AS1"	"EZR antisense RNA 1"
"chr1"	156510757	156511256	500	"*"	501	"*"	5.01	5.91	2.23	3.68	9.63e-10	6.2e-07	"Exon (uc057mai.1/uc057mai.1, exon 1 of 1)"	1	156463727	156500828	37102	2	"4209"	"uc001fpc.5"	-9929	"ENSG00000116604"	"MEF2D"	"myocyte enhancer factor 2D"
"chr22"	30250486	30250985	500	"*"	501	"*"	4.76	0.85	5.72	-4.86	1.08e-09	6.77e-07	"Distal Intergenic"	22	30240447	30246851	6405	2	"3976"	"uc003agz.3"	-3635	"ENSG00000128342"	"LIF"	"LIF, interleukin 6 family cytokine"
"chr1"	86788591	86789090	500	"*"	501	"*"	5.21	6.04	3	3.05	1.49e-09	9.12e-07	"Distal Intergenic"	1	86734244	86738695	4452	1	"51100"	"uc057iby.1"	54347	"ENSG00000097033"	"SH3GLB1"	"SH3 domain containing GRB2 like, endophilin B1"
"chr22"	30205553	30206052	500	"*"	501	"*"	5.02	2.59	5.89	-3.3	1.87e-09	1.12e-06	"Intron (uc062dal.1/uc062dal.1, intron 1 of 2)"	22	30243533	30246739	3207	2	"3976"	"uc011aks.3"	40687	"ENSG00000128342"	"LIF"	"LIF, interleukin 6 family cytokine"
"chr12"	50924613	50925112	500	"*"	501	"*"	5.05	5.92	2.48	3.44	2.66e-09	1.56e-06	"Promoter (<=1kb)"	12	50924751	50932517	7767	1	"25840"	"uc001rxb.3"	0	"ENSG00000185432"	"METTL7A"	"methyltransferase like 7A"
"chr9"	21591541	21592040	500	"*"	501	"*"	5.23	3.24	6.03	-2.79	3.02e-09	1.73e-06	"Distal Intergenic"	9	21455642	21559669	104028	2	"554202"	"uc003zpe.3"	-31872	NA	"MIR31HG"	"MIR31 host gene"
"chr7"	74022966	74023465	500	"*"	501	"*"	5.44	6.22	3.59	2.63	4.37e-09	2.46e-06	"Distal Intergenic"	7	74027789	74068763	40975	1	"2006"	"uc011kff.4"	-4324	"ENSG00000049540"	"ELN"	"elastin"
"chr3"	194135959	194136458	500	"*"	501	"*"	7.01	6.15	7.54	-1.39	4.48e-09	2.47e-06	"Promoter (<=1kb)"	3	194136145	194138732	2588	1	"3280"	"uc003ftq.3"	0	"ENSG00000114315"	"HES1"	"hes family bHLH transcription factor 1"
"chr19"	9913433	9913932	500	"*"	501	"*"	5.16	3.16	5.97	-2.81	5.31e-09	2.86e-06	"Promoter (<=1kb)"	19	9854616	9913836	59221	2	"93145"	"uc060tda.1"	0	"ENSG00000105088"	"OLFM2"	"olfactomedin 2"
"chr1"	182391491	182391990	500	"*"	501	"*"	8.46	8.86	7.9	0.95	6.52e-09	3.38e-06	"Promoter (<=1kb)"	1	182382894	182391792	8899	2	"2752"	"uc001gpb.3"	0	"ENSG00000135821"	"GLUL"	"glutamate-ammonia ligase"
"chr6"	111559570	111560069	500	"*"	501	"*"	4.76	5.7	1.26	4.44	6.53e-09	3.38e-06	"Intron (uc063qrf.1/643749, intron 1 of 2)"	6	111556454	111606246	49793	2	"10758"	"uc003pvf.5"	46177	"ENSG00000056972"	"TRAF3IP2"	"TRAF3 interacting protein 2"
"chr12"	76266672	76267171	500	"*"	501	"*"	5.18	6	3.12	2.88	8.6e-09	4.37e-06	"Intron (uc058rdr.1/uc058rdr.1, intron 1 of 3)"	12	76344474	76348442	3969	2	"79738"	"uc001syd.2"	81271	"ENSG00000179941"	"BBS10"	"Bardet-Biedl syndrome 10"
"chr13"	41457334	41457833	500	"*"	501	"*"	7.31	7.83	6.47	1.36	9.42e-09	4.7e-06	"Promoter (<=1kb)"	13	41457559	41470882	13324	1	"28984"	"uc001uyi.3"	0	"ENSG00000102760"	"RGCC"	"regulator of cell cycle"
"chr1"	116373022	116373521	500	"*"	501	"*"	7.89	8.37	7.16	1.22	1.13e-08	5.51e-06	"Promoter (<=1kb)"	1	116373260	116404774	31515	1	"476"	"uc001ege.5"	0	"ENSG00000163399"	"ATP1A1"	"ATPase Na+/K+ transporting subunit alpha 1"
"chrX"	107676729	107677228	500	"*"	501	"*"	5.81	6.54	4.25	2.29	1.17e-08	5.54e-06	"Distal Intergenic"	23	107639358	107650301	10944	1	"5631"	"uc065apa.1"	37371	"ENSG00000147224"	"PRPS1"	"phosphoribosyl pyrophosphate synthetase 1"
"chr11"	19367368	19367867	500	"*"	501	"*"	5.44	6.2	3.69	2.51	1.18e-08	5.54e-06	"Intron (uc001mpp.4/89797, intron 1 of 37)"	11	19350724	20121598	770875	1	"89797"	"uc001mpp.4"	16644	"ENSG00000166833"	"NAV2"	"neuron navigator 2"
"chr2"	237097851	237098350	500	"*"	501	"*"	4.76	5.66	1.88	3.77	1.37e-08	6.37e-06	"3' UTR"	2	237085312	237100466	15155	1	"10920"	"uc002vwh.4"	12539	"ENSG00000198612"	"COPS8"	"COP9 signalosome subunit 8"
"chr15"	68586003	68586502	500	"*"	501	"*"	5.07	3.03	5.88	-2.85	1.42e-08	6.46e-06	"Intron (uc002arj.5/10391, intron 1 of 11)"	15	68578969	68727803	148835	1	"10391"	"uc002arj.5"	7034	"ENSG00000103647"	"CORO2B"	"coronin 2B"
"chr6"	131950599	131951098	500	"*"	501	"*"	9.35	9.76	8.78	0.97	1.45e-08	6.47e-06	"Promoter (<=1kb)"	6	131948176	131951373	3198	2	"1490"	"uc003qcz.4"	275	"ENSG00000118523"	"CTGF"	"connective tissue growth factor"
"chr10"	44978527	44979026	500	"*"	501	"*"	7.45	7.91	6.75	1.16	1.49e-08	6.58e-06	"Promoter (<=1kb)"	10	44970981	44978790	7810	2	"11067"	"uc057sxx.1"	0	"ENSG00000165507"	"DEPP1"	"DEPP1, autophagy regulator"
"chr2"	205657525	205658024	500	"*"	501	"*"	4.69	5.63	1.06	4.57	1.85e-08	8.02e-06	"Distal Intergenic"	2	205681990	205701557	19568	1	"8828"	"uc061rro.1"	-23966	"ENSG00000118257"	"NRP2"	"neuropilin 2"
"chr7"	95596193	95596692	500	"*"	501	"*"	5.02	6	-0.16	6.16	1.94e-08	8.25e-06	"Promoter (<=1kb)"	7	95583499	95596491	12993	2	"5166"	"uc003uoa.4"	0	"ENSG00000004799"	"PDK4"	"pyruvate dehydrogenase kinase 4"
"chr11"	122169743	122170242	500	"*"	501	"*"	4.56	1.37	5.48	-4.11	2.16e-08	9.06e-06	"Intron (uc058int.1/399959, intron 2 of 2)"	11	122155422	122203062	47641	2	"399959"	"uc058int.1"	32820	"ENSG00000255248"	"MIR100HG"	"mir-100-let-7a-2-mir-125b-1 cluster host gene"
"chr14"	96255747	96256246	500	"*"	501	"*"	5.75	4.4	6.43	-2.03	2.21e-08	9.1e-06	"Promoter (<=1kb)"	14	96255824	96264763	8940	1	"623"	"uc001yfh.4"	0	"ENSG00000100739"	"BDKRB1"	"bradykinin receptor B1"
"chr9"	115117839	115118338	500	"*"	501	"*"	5.88	4.62	6.54	-1.92	3.16e-08	1.28e-05	"Promoter (<=1kb)"	9	115019578	115118257	98680	2	"3371"	"uc022bmj.2"	0	"ENSG00000041982"	"TNC"	"tenascin C"
"chr15"	60426944	60427443	500	"*"	501	"*"	5.1	5.91	3.07	2.84	3.73e-08	1.49e-05	"Intron (uc002agp.5/79664, intron 15 of 15)"	15	60419609	60479145	59537	2	"79664"	"uc002agp.5"	51702	"ENSG00000128915"	"ICE2"	"interactor of little elongation complex ELL subunit 2"
"chr5"	16459333	16459832	500	"*"	501	"*"	4.66	5.57	1.53	4.04	4.02e-08	1.58e-05	"Intron (uc003jfq.4/90441, intron 3 of 5)"	5	16451519	16465792	14274	2	"90441"	"uc003jfq.4"	5960	"ENSG00000173545"	"ZNF622"	"zinc finger protein 622"
"chr11"	122100145	122100644	500	"*"	501	"*"	7.39	6.73	7.85	-1.12	4.07e-08	1.58e-05	"Promoter (1-2kb)"	11	122089103	122102178	13076	2	"399959"	"uc058inl.1"	1534	"ENSG00000255248"	"MIR100HG"	"mir-100-let-7a-2-mir-125b-1 cluster host gene"
"chr3"	30496481	30496980	500	"*"	501	"*"	5.8	6.5	4.39	2.11	4.17e-08	1.58e-05	"Distal Intergenic"	3	30606502	30694134	87633	1	"7048"	"uc003ceo.4"	-109522	"ENSG00000163513"	"TGFBR2"	"transforming growth factor beta receptor 2"
"chr14"	52313974	52314473	500	"*"	501	"*"	7.53	7.99	6.86	1.12	4.22e-08	1.58e-05	"Promoter (<=1kb)"	14	52314305	52327509	13205	1	"5732"	"uc059bns.1"	0	"ENSG00000125384"	"PTGER2"	"prostaglandin E receptor 2"
"chr5"	65480302	65480801	500	"*"	501	"*"	6.32	5.21	6.94	-1.72	4.24e-08	1.58e-05	"Promoter (1-2kb)"	5	65148736	65481920	333185	2	"11174"	"uc003jtp.4"	1119	"ENSG00000049192"	"ADAMTS6"	"ADAM metallopeptidase with thrombospondin type 1 motif 6"
"chr15"	25737094	25737593	500	"*"	501	"*"	4.78	5.67	2.03	3.64	4.91e-08	1.8e-05	"Intron (uc010ayu.4/57194, intron 2 of 20)"	15	25677273	25863208	185936	2	"57194"	"uc010ayu.4"	125615	"ENSG00000206190"	"ATP10A"	"ATPase phospholipid transporting 10A (putative)"
"chr5"	150778570	150779069	500	"*"	501	"*"	7.65	8.08	7.03	1.04	4.97e-08	1.8e-05	"Promoter (<=1kb)"	5	150777946	150796734	18789	1	"85027"	"uc003lsw.4"	624	"ENSG00000256235"	"SMIM3"	"small integral membrane protein 3"
"chr1"	156704976	156705475	500	"*"	501	"*"	4.65	2.01	5.53	-3.52	5.47e-08	1.91e-05	"Promoter (<=1kb)"	1	156699606	156705601	5996	2	"1382"	"uc001fpr.4"	126	"ENSG00000143320"	"CRABP2"	"cellular retinoic acid binding protein 2"
"chr22"	42991124	42991623	500	"*"	501	"*"	4.88	5.75	2.31	3.44	5.49e-08	1.91e-05	"Intron (uc003bdg.5/11252, intron 1 of 10)"	22	42869771	43015145	145375	2	"11252"	"uc003bdg.5"	23522	"ENSG00000100266"	"PACSIN2"	"protein kinase C and casein kinase substrate in neurons 2"
"chr8"	94725050	94725549	500	"*"	501	"*"	4.64	5.54	1.72	3.82	5.49e-08	1.91e-05	"Intron (uc064ore.1/286148, intron 1 of 3)"	8	94719703	94739779	20077	1	"286148"	"uc064ore.1"	5347	"ENSG00000156162"	"DPY19L4"	"dpy-19 like 4"
"chr6"	35601917	35602416	500	"*"	501	"*"	4.58	5.51	1.06	4.45	5.73e-08	1.97e-05	"Intron (uc011dte.1/2289, intron 5 of 10)"	6	35573585	35688915	115331	2	"2289"	"uc011dte.1"	86499	"ENSG00000096060"	"FKBP5"	"FK506 binding protein 5"
"chr5"	95822418	95822917	500	"*"	501	"*"	6.38	6.98	5.35	1.62	7.26e-08	2.46e-05	"Promoter (<=1kb)"	5	95751319	95822726	71408	2	"2745"	"uc063fnd.1"	0	"ENSG00000173221"	"GLRX"	"glutaredoxin"
"chr19"	46300560	46301059	500	"*"	501	"*"	4.66	5.56	1.71	3.84	8.47e-08	2.83e-05	"Intron (uc061aes.1/64344, intron 1 of 4)"	19	46297046	46309266	12221	1	"64344"	"uc061aes.1"	3514	"ENSG00000124440"	"HIF3A"	"hypoxia inducible factor 3 alpha subunit"
"chr21"	32411637	32412136	500	"*"	501	"*"	6.73	7.26	5.9	1.36	8.75e-08	2.87e-05	"Promoter (<=1kb)"	21	32412006	32468055	56050	1	"59271"	"uc061znf.1"	0	"ENSG00000166979"	"EVA1C"	"eva-1 homolog C"
"chr8"	118951651	118952150	500	"*"	501	"*"	5.82	4.54	6.49	-1.95	8.8e-08	2.87e-05	"Promoter (<=1kb)"	8	118926510	118951883	25374	2	"4982"	"uc064ptc.1"	0	"ENSG00000164761"	"TNFRSF11B"	"TNF receptor superfamily member 11b"
"chr8"	47737887	47738386	500	"*"	501	"*"	8.17	8.57	7.62	0.95	9.68e-08	3.08e-05	"Promoter (<=1kb)"	8	47736909	47739086	2178	2	"1052"	"uc003xqh.2"	700	"ENSG00000221869"	"CEBPD"	"CCAAT enhancer binding protein delta"
"chr5"	172775481	172775980	500	"*"	501	"*"	4.77	5.74	-0.16	5.9	9.69e-08	3.08e-05	"Intron (uc063jrt.1/uc063jrt.1, intron 1 of 1)"	5	172768090	172771195	3106	2	"1843"	"uc003mbv.3"	-4286	"ENSG00000120129"	"DUSP1"	"dual specificity phosphatase 1"
"chr11"	114154476	114154975	500	"*"	501	"*"	4.84	5.68	2.58	3.1	1.12e-07	3.53e-05	"Intron (uc001pop.4/7704, intron 2 of 6)"	11	114059593	114250676	191084	1	"7704"	"uc001pop.4"	94883	"ENSG00000109906"	"ZBTB16"	"zinc finger and BTB domain containing 16"
"chr7"	107971955	107972454	500	"*"	501	"*"	5.71	6.4	4.34	2.06	1.16e-07	3.59e-05	"Intron (uc003vev.3/3912, intron 11 of 31)"	7	107923803	108002027	78225	2	"3912"	"uc003vev.3"	29573	"ENSG00000091136"	"LAMB1"	"laminin subunit beta 1"
"chr6"	133763879	133764378	500	"*"	501	"*"	4.53	5.44	1.48	3.96	1.19e-07	3.65e-05	"Intron (uc003qeg.3/100507308, intron 3 of 8)"	6	133502252	133888982	386731	2	"100507308"	"uc003qeg.3"	124604	"ENSG00000227954"	"TARID"	"TCF21 antisense RNA inducing promoter demethylation"
"chr12"	51923449	51923948	500	"*"	501	"*"	4.87	5.72	2.55	3.16	1.2e-07	3.65e-05	"Distal Intergenic"	12	51915713	51919320	3608	1	"94"	"uc058oes.1"	7736	"ENSG00000139567"	"ACVRL1"	"activin A receptor like type 1"
"chr10"	97596098	97596597	500	"*"	501	"*"	4.71	5.68	-0.16	5.84	1.45e-07	4.36e-05	"Intron (uc001knx.3/112817, intron 1 of 2)"	10	97584323	97600948	16626	1	"112817"	"uc001knx.3"	11775	"ENSG00000241935"	"HOGA1"	"4-hydroxy-2-oxoglutarate aldolase 1"
"chr6"	128882928	128883427	500	"*"	501	"*"	6.1	6.75	4.88	1.88	1.53e-07	4.51e-05	"Promoter (<=1kb)"	6	128883141	129516563	633423	1	"3908"	"uc063rgw.1"	0	"ENSG00000196569"	"LAMA2"	"laminin subunit alpha 2"
"chr1"	209835573	209836072	500	"*"	501	"*"	5.69	4.36	6.36	-2	1.55e-07	4.51e-05	"Intron (uc001hhr.3/27042, intron 5 of 11)"	1	209828007	209857565	29559	1	"27042"	"uc001hhr.3"	7566	"ENSG00000117597"	"DIEXF"	"digestive organ expansion factor homolog (zebrafish)"
"chr12"	51905167	51905666	500	"*"	501	"*"	5.55	6.25	4.12	2.13	1.55e-07	4.51e-05	"Promoter (1-2kb)"	12	51906908	51913304	6397	1	"94"	"uc058oeo.1"	-1242	"ENSG00000139567"	"ACVRL1"	"activin A receptor like type 1"
"chr6"	35725505	35726004	500	"*"	501	"*"	4.48	5.42	0.76	4.66	1.8e-07	5.17e-05	"Promoter (2-3kb)"	6	35573585	35728583	154999	2	"2289"	"uc003oky.3"	2579	"ENSG00000096060"	"FKBP5"	"FK506 binding protein 5"
"chr3"	156615681	156616180	500	"*"	501	"*"	5.35	6.1	3.73	2.37	1.88e-07	5.35e-05	"Distal Intergenic"	3	156673235	156705139	31905	1	"25976"	"uc062pgt.1"	-57055	"ENSG00000163659"	"TIPARP"	"TCDD inducible poly(ADP-ribose) polymerase"
"chr1"	145996283	145996782	500	"*"	501	"*"	8.83	9.18	8.36	0.82	2.04e-07	5.68e-05	"Promoter (<=1kb)"	1	145992435	145996600	4166	2	"10628"	"uc031utr.2"	0	"ENSG00000265972"	"TXNIP"	"thioredoxin interacting protein"
"chr11"	45209804	45210303	500	"*"	501	"*"	4.51	5.46	0.37	5.09	2.05e-07	5.68e-05	"Intron (uc058ask.1/56981, intron 5 of 6)"	11	45095806	45224908	129103	1	"56981"	"uc058ask.1"	113998	"ENSG00000019485"	"PRDM11"	"PR/SET domain 11"
"chr12"	89347273	89347772	500	"*"	501	"*"	5.18	3.48	5.94	-2.45	2.06e-07	5.68e-05	"3' UTR"	12	89347232	89353271	6040	2	"1848"	"uc001tay.5"	5499	"ENSG00000139318"	"DUSP6"	"dual specificity phosphatase 6"
